,logFC,AveExpr,t,P.Value,adj.P.Val,B
PTMA,0.239041517584099,9.52482742942014,3.54764065098564,0.000514887716539544,0.15697699016225,-0.287296235233684
KLF7,0.143423103395666,8.82384152180912,3.54304591904865,0.00052325092979299,0.15697699016225,-0.300844171433089
MEX3D,0.131365061102567,6.53663712870062,3.54217333045571,0.000524853567491087,0.15697699016225,-0.3034154149164
ABCD4,0.160010467390135,7.5602672638896,3.53862421957208,0.000531419753524317,0.15697699016225,-0.313868082267927
TSNAX,-0.400803016371027,8.30892034385978,-3.52601824328881,0.00055537211298313,0.15697699016225,-0.35092388404935
ALDH1B1,-0.143493766029076,6.63321164333924,-3.52530490667543,0.000556757415550489,0.15697699016225,-0.353017465945618
TXLNG,-0.115347838074242,6.7446392654473,-3.5241138843462,0.000559077630587539,0.15697699016225,-0.356512225851859
PSMA7,0.138113497464335,9.00842322996441,3.51894327567703,0.000569256251593368,0.15697699016225,-0.371672654003553
TNFSF11,0.0727574256566257,5.43229396067237,3.50817715428015,0.000591011620181152,0.15697699016225,-0.403179612566607
UTP6,0.160297164652084,8.15200249846875,3.50787315848793,0.000591637110864799,0.15697699016225,-0.40406808100259
ATP5C1,0.131403455506621,10.4200341631519,3.5036689262978,0.000600351638021545,0.15697699016225,-0.416348903921048
AKR1A1,0.157990614572943,8.90609112481551,3.49352976069291,0.00062186688067833,0.15697699016225,-0.445915287812047
IRF8,0.166640566124086,10.9711790671556,3.48928162504818,0.000631094980812635,0.15697699016225,-0.458281745877136
SLMO1,0.118553097419862,6.615984112314,3.48697289769457,0.00063616395508837,0.15697699016225,-0.464997233000685
WWP1,-0.19985657498762,8.07379208548412,-3.43826989350301,0.000752430689878067,0.174891929034343,-0.605790752970043
COMMD3,0.227016190853737,8.55116084606777,3.43207438261712,0.000768574034145615,0.174891929034343,-0.623581543256416
AP2B1,-0.187195722227532,8.78350239513353,-3.42440486251928,0.000789007920480375,0.174891929034343,-0.645567547256298
ZNF155,-0.122414564941769,5.55060589986708,-3.42440087611418,0.000789018672617489,0.174891929034343,-0.645578964181931
C14orf93,0.0812077713373123,6.40451771204505,3.41545513014018,0.0008134961133521,0.174891929034343,-0.67117099808659
DDX21,0.169626484992527,8.9331879962618,3.41248262067932,0.000821785759563668,0.174891929034343,-0.679662250380363
NDUFA10,0.161654034516507,9.39088514616238,3.4122695951095,0.000822382867400709,0.174891929034343,-0.680270538007484
DDB2,0.146221227251226,7.57631563789444,3.40103705787643,0.000854449448582768,0.174891929034343,-0.712299201612515
ACR,0.145832795289819,6.97507857329354,3.3901050919191,0.000886779053699342,0.174891929034343,-0.743384995422172
HAPLN2,0.112723181732671,6.59999609793709,3.37597148313379,0.000930275277437847,0.174891929034343,-0.783449189432759
ZSCAN2,-0.0892972150152547,6.39478073737685,-3.37259734390353,0.000940950308142708,0.174891929034343,-0.79299279161746
NPY,0.136279321361378,6.95980452235591,3.37141508161901,0.000944717754623926,0.174891929034343,-0.796334852159122
RAC1,0.148883002599716,8.95793907363984,3.36674450996327,0.000959739590927129,0.174891929034343,-0.809528063186888
PPIH,0.170592767991215,7.89180176150528,3.36340328491177,0.000970622623556774,0.174891929034343,-0.818956671004311
TM7SF3,-0.182782717325405,7.04246907194667,-3.36095266629331,0.00097867801262724,0.174891929034343,-0.825867021032261
RECK,-0.134959531634715,6.73697290156397,-3.35930451497738,0.000984130733017661,0.174891929034343,-0.830512136051702
EIF3K,0.129284377474377,11.0391990603963,3.35585595767128,0.000995631905107173,0.174891929034343,-0.840225214219646
PKP4,-0.0876778525244495,6.44810504834552,-3.35523113049333,0.000997729143978033,0.174891929034343,-0.841984171988877
WT1-AS,0.115812307222416,5.86140824984173,3.3521820921094,0.00100802264573108,0.174891929034343,-0.850563558875025
DDIT3,0.20284478014522,7.48775314691141,3.33603000551568,0.00106422741288439,0.177691233656438,-0.895901625112907
RP2,-0.249890145467202,8.6538336562546,-3.33573476318429,0.00106528150492229,0.177691233656438,-0.896728620254732
SLC25A11,-0.231596400611405,8.68193624041331,-3.33381362464022,0.00107216432411575,0.177691233656438,-0.902108345955163
GLT8D2,0.0962153734812148,6.17058397260382,3.31399909808879,0.00114561773114699,0.184623790741617,-0.957440416772019
JTB,0.0965005778674666,10.1316416904162,3.30888295541087,0.00116533229534621,0.184623790741617,-0.971681536090951
TOM1L1,0.131448655449994,4.85899379064112,3.30694265088271,0.00117289152174342,0.184623790741617,-0.977077588240475
RNF38,-0.198792449147225,9.2936478754005,-3.30403783550579,0.00118429394049494,0.184623790741617,-0.985150924866663
BRSK2,0.118795937866,6.60403318224464,3.29874748836387,0.00120532651275131,0.184623790741617,-0.999838784198071
RANBP17,-0.107954910227382,5.44284904632192,-3.29665156827159,0.00121375510844182,0.184623790741617,-1.00565223051248
HNRNPA1,0.299751769749962,7.37815907790395,3.28777255666195,0.00125007476175548,0.187578785872066,-1.03024487058526
DAPK2,0.0970337135601618,6.55370121099027,3.28061941589407,0.00128006899975693,0.188934647598923,-1.05001600396106
RUNX1T1,-0.0658389400045856,5.43805114120979,-3.27512974241679,0.00130354153590483,0.188934647598923,-1.06516434229574
TP63,0.0605394263506716,5.74796600156123,3.2653139809769,0.00134651393934498,0.188934647598923,-1.09219600827903
GYPB,0.156253382142625,5.2204152663948,3.25744680740734,0.00138190435819676,0.188934647598923,-1.11381122187143
GMEB1,-0.0933742582338617,8.04946921114518,-3.24863853643617,0.00142255510977115,0.188934647598923,-1.1379590211439
TACC1,0.0917425574207975,8.78074566837335,3.24798868568629,0.00142559788028956,0.188934647598923,-1.13973835769644
ARHGEF10,0.0616580823138539,5.94834098564953,3.24684928107209,0.0014309474966352,0.188934647598923,-1.14285738883929
DHX15,0.14307098493201,9.56558871139496,3.2457014191333,0.00143635570959833,0.188934647598923,-1.14599862078217
ZKSCAN5,-0.0766164782027685,6.76560002694355,-3.24455924649254,0.00144175599501848,0.188934647598923,-1.14912333637763
FLNC,0.0969251103682058,7.06389775584579,3.23438368481289,0.00149070776703285,0.188934647598923,-1.17691955669779
CAPZA1,-0.142791332060973,11.4494573427676,-3.23356874642202,0.00149469434490596,0.188934647598923,-1.17914244830614
NAP1L2,-0.121489374942248,4.57053089597328,-3.23342141717537,0.00149541611907969,0.188934647598923,-1.17954426401232
TCEB2,0.0998108830337916,8.66914960700815,3.23303004338652,0.00149733505599211,0.188934647598923,-1.18061159363536
BIK,0.112787747516425,6.26791260853403,3.23300618335926,0.00149745211765795,0.188934647598923,-1.18067665958571
TMEM161A,0.11264182330863,8.36989468460451,3.22958293677998,0.00151433570211673,0.188934647598923,-1.19000752287039
PEX26,0.161125308262273,7.65064621058079,3.22540042158469,0.00153520432401474,0.188938827454757,-1.20139640708658
MAP3K3,0.160190165250436,9.09672629526406,3.22036143382833,0.00156070143735007,0.188938827454757,-1.21510057213855
AOAH,0.168028379013238,11.1873471458774,3.21943821517353,0.00156541535715396,0.188938827454757,-1.21760938250821
TRAP1,0.124335672417359,8.4660806306808,3.21124585219707,0.00160782892608254,0.191940417729266,-1.23984466014549
DMTF1,0.295998013303631,8.38414403486697,3.20762983761195,0.00162688745166908,0.191940417729266,-1.24964352463887
FLRT3,-0.109754396170748,4.59884437433465,-3.20476389730545,0.00164214154217221,0.191940417729266,-1.25740303742014
FOXO1,0.214836279198231,8.62468672699493,3.19775267478796,0.00168002105589579,0.192741288618286,-1.27636065130779
WNT1,0.123802828553406,6.58515091718421,3.18740764894342,0.00173739645038962,0.192741288618286,-1.30426707008739
CRYGA,0.131619833050292,5.87366036793607,3.18716749372148,0.00173874975054265,0.192741288618286,-1.30491397791318
SREK1IP1,-0.267745537750812,6.5425761835294,-3.1863840627514,0.00174317127395929,0.192741288618286,-1.30702401877392
EIF3D,0.104172962756477,10.3201767099698,3.18249907555756,0.00176525198295909,0.192741288618286,-1.31748096331242
MANBA,0.139414588056129,8.98549442073946,3.18111245338639,0.00177319565697378,0.192741288618286,-1.32121056644265
BTN2A1,0.236170992605789,8.58357774189261,3.17824802747096,0.00178971053873212,0.192741288618286,-1.32891057565138
RCAN2,0.0804723159738563,5.82648924658664,3.17767354491269,0.00179303986333099,0.192741288618286,-1.33045414958832
EEF1A1,0.183281293067337,11.3736937017558,3.17400967662589,0.00181440883070101,0.192741288618286,-1.34029290046665
C21orf59,0.115652824292837,8.3006856168717,3.17262066606465,0.0018225716232817,0.192741288618286,-1.34402030715049
C9orf116,0.0925569813133418,6.49312782108452,3.16088457201,0.0018929136960396,0.195850167389626,-1.37545772776582
INTS6,-0.246301944671465,7.62343344782543,-3.16045687891062,0.00189552407011187,0.195850167389626,-1.37660148261464
PAFAH2,0.0902742818423539,6.84131372544276,3.15702589609739,0.00191658578731719,0.195850167389626,-1.38577191051881
ZNF225,-0.109078141115844,5.6738295440223,-3.1532672663307,0.00193990775974348,0.195850167389626,-1.3958081785442
TNPO3,0.115722596234917,8.41595221147119,3.15322710714975,0.00194015835850674,0.195850167389626,-1.39591535539034
LRRC49,-0.0719380165421075,4.9645973113459,-3.14540365807016,0.00198955418167125,0.197421039358307,-1.41677201469772
PHLDA3,0.127499952812713,7.51384883924484,3.14144752304209,0.0020149738115092,0.197421039358307,-1.4273016360416
VPS35,0.255945843139536,10.1001413930064,3.1399630518121,0.00202458948738516,0.197421039358307,-1.43124972845895
ADNP2,-0.154292076292749,7.19817475944702,-3.13820496396174,0.00203603250331941,0.197421039358307,-1.43592343620701
GLA,0.139751042156968,8.59874023751775,3.13507043154238,0.00205658327299888,0.197421039358307,-1.44425065453082
NF2,-0.0712793351660741,6.69128361853511,-3.13418916488886,0.00206239558407454,0.197421039358307,-1.44659053228803
ADAM17,-0.162632702835173,7.77163189404908,-3.12766787711781,0.00210588131091015,0.199601694046228,-1.4638876497846
NVL,0.120267740865698,7.12878122980123,3.12541099636986,0.00212112751237887,0.199601694046228,-1.469866530927
CIDEA,0.111281455271184,6.22641235732548,3.10671380626266,0.00225142179943021,0.207228789848206,-1.51925443364555
SERPINB6,0.109202474691275,9.03841934647832,3.10652750455997,0.00225275654999545,0.207228789848206,-1.51974524539498
TULP2,0.0910496925555826,6.68082280523974,3.10509736355076,0.00226302713865488,0.207228789848206,-1.52351209819541
BCOR,-0.121843216028302,6.88475820912467,-3.10318489322834,0.00227682928327459,0.207228789848206,-1.52854700042111
MT1G,0.165218220201753,6.69938478867569,3.09810877660692,0.00231384169733808,0.208885351278391,-1.54189764062397
SOAT1,-0.248292284833504,8.13338304741233,-3.08851999834814,0.00238528056927752,0.210706422626994,-1.56706503091846
GUSB,0.101768367631404,9.58173499956703,3.08847578754169,0.00238561462236522,0.210706422626994,-1.5671809123003
AKT3,-0.255794103585192,6.78606926840308,-3.08777162664934,0.00239094103485241,0.210706422626994,-1.56902640046515
DAP3,0.126846726152793,8.72102532724759,3.08469631124065,0.00241433241283278,0.211092496945631,-1.57708198909266
SLC41A3,0.113379682744135,8.29741982298041,3.08022145088084,0.00244874692529348,0.212428795769209,-1.58879109162466
SLC35D2,-0.182054931333156,7.25943356874239,-3.07614135333545,0.00248051994638896,0.213517003757388,-1.59945431787648
APPL1,-0.154117525223563,7.70169933235212,-3.06847616527941,0.00254124328466118,0.216155027863397,-1.61945372502501
KCNE1,0.154548474443228,7.55630501269814,3.06737235525073,0.00255009984240859,0.216155027863397,-1.62233011115789
ZNF107,-0.216880475359357,5.51137363027911,-3.06481211729757,0.00257075206813933,0.216254780034994,-1.62899828059958
ERICH1,0.257998458002697,7.8624520168309,3.05808112448941,0.00262578672603032,0.218076463191501,-1.6465060225193
HMGCL,0.0827860734330734,8.10947942160609,3.05441791428771,0.00265619325301591,0.218076463191501,-1.65602012887804
OSBPL8,-0.284149020913922,9.93133203840793,-3.0543876250752,0.0026564460180688,0.218076463191501,-1.65609875460394
FAM129A,-0.17707430988245,8.49394554879983,-3.05265220340861,0.00267096532727343,0.218076463191501,-1.66060248027373
KHDRBS2,0.101087895151988,6.13442967513109,3.04279202944343,0.0027548592456673,0.223284358130582,-1.68614887112841
COASY,0.0922126371138905,8.44500239486052,3.03848911276708,0.00279222624063777,0.224673044753926,-1.69727448236531
METTL5,-0.111887339905746,6.85803712858788,-3.03245193926012,0.00284544198305373,0.227307825754163,-1.71286094238825
MPHOSPH10,0.123309846972941,7.328693589587,3.02890346981541,0.00287715529983187,0.228199517495236,-1.72200952434321
IDS,-0.0939021965594389,8.40399377651915,-3.01692963995628,0.00298658747770702,0.229999293367343,-1.75281087142441
ITGAX,0.182332533604722,9.658711534111,3.01575496430016,0.00299752716725689,0.229999293367343,-1.75582683065331
ARMC4,-0.0684454222592645,6.08211664747469,-3.01206616120073,0.00303212118617331,0.229999293367343,-1.76529106885967
HMGN5,-0.0984293321087319,5.13767170562564,-3.00953517264724,0.00305606937186883,0.229999293367343,-1.77177886084405
HIST1H4G,0.138083715290836,5.61174104999395,3.00753542378942,0.0030751140146538,0.229999293367343,-1.77690151765233
FADS2,-0.257209705919282,7.21931814202517,-3.00738713211594,0.00307653061609275,0.229999293367343,-1.77728126997705
ZNF652,-0.202352323883495,8.73139772020051,-3.00678455646079,0.00308229308738175,0.229999293367343,-1.77882420506577
ALOX12B,0.0818970204248322,6.12314135675184,3.00657965816522,0.00308425480648998,0.229999293367343,-1.77934879894915
MT1E,0.125566518527393,7.86506664285524,3.00636974462652,0.00308626573412592,0.229999293367343,-1.77988620063241
DKFZP586I1420,0.196376417675959,7.73783117973806,3.00316752360029,0.00311709238243991,0.230747958764085,-1.78808015254057
ADRB1,0.128541308486603,6.61867558849358,3.00060619043556,0.00314195318620102,0.231048001189246,-1.79462865807414
TBC1D8,0.155990725276107,8.31160112557774,2.99828933714891,0.0031645980938429,0.231182218644944,-1.80054787901879
ARID5A,0.115919307027488,7.87222359013253,2.99549639857303,0.00319209589676149,0.231381283745203,-1.8076780874737
RGS11,0.0944076507718901,6.50773112093635,2.99356810927373,0.00321120893723833,0.231381283745203,-1.81259748907919
GBF1,0.0851941107691534,8.18294411970321,2.99119405657848,0.00323488495825469,0.231381283745203,-1.8186502860486
BEST2,0.0968520852023307,6.5824564236543,2.98961975398466,0.00325067365492179,0.231381283745203,-1.82266174159418
KIAA0141,0.100990749973644,8.3561065530781,2.97337915623339,0.00341773888873763,0.24138600070344,-1.86393569379564
ABCC10,0.126510296368421,8.2258909310816,2.96892248191022,0.00346494484991593,0.24138600070344,-1.87522730181944
WFDC2,0.0767516247554809,6.71645598549224,2.96654662627432,0.0034903545239371,0.24138600070344,-1.88124076758055
ZNF747,0.15172672367112,8.39574058646468,2.96451457455577,0.00351222295502015,0.24138600070344,-1.88638067485097
UNG,-0.0946532476537012,5.92471940135829,-2.96365655747635,0.00352149446130999,0.24138600070344,-1.88855002639585
PYGM,0.111774648974849,6.30584352555472,2.96335457545647,0.00352476294527252,0.24138600070344,-1.88931340536238
C7orf26,0.0891333544372692,8.27420522138957,2.96163752168787,0.00354340040657968,0.24138600070344,-1.89365263453503
GSTK1,0.152664775243499,10.8374058706915,2.95785831615464,0.00358474044762269,0.241881547405756,-1.90319539253647
HIVEP2,-0.201826571982949,6.36656615670037,-2.95621384218199,0.00360286698291859,0.241881547405756,-1.90734444962181
TIMM13,0.111114841517884,7.53848367635746,2.95322779547857,0.00363599661214487,0.241881547405756,-1.91487313255783
EDAR,-0.0709461591240785,6.74353899237345,-2.95306526544384,0.00363780785453541,0.241881547405756,-1.91528272496323
RRP1B,-0.0856091106053052,7.52933091401348,-2.94347641713335,0.00374614425179903,0.244644600083497,-1.93941240245157
PRDM14,0.103977950324074,7.117264396934,2.94331677981977,0.00374797266087801,0.244644600083497,-1.93981353257866
SLCO4A1,0.0957867339675635,7.10182497791004,2.94230313202289,0.00375960161922043,0.244644600083497,-1.94236013721176
PDGFRL,-0.0993978404700968,6.1293401627038,-2.94161703326084,0.00376749158990256,0.244644600083497,-1.94408339530964
TMC5,0.0694073393601222,5.28363788203644,2.93948371460477,0.00379212141605147,0.244812303510671,-1.94943933434166
EPN3,0.119389870632815,6.68402473990274,2.9367024293795,0.00382445408785401,0.245472475095555,-1.95641691356189
CHMP7,-0.116826357565542,7.95305044991691,-2.93210138300954,0.0038784973532822,0.245966343453834,-1.96794702675322
XDH,0.0766612660251971,6.74412588289981,2.93138984215188,0.00388691727867601,0.245966343453834,-1.96972870502601
CATSPERG,0.0673332888657088,6.24134946416328,2.9304047436896,0.00389860198557949,0.245966343453834,-1.97219473306178
ORAI2,-0.141102587238771,7.67714745204001,-2.92367002325139,0.00397935249423748,0.246572415828602,-1.98903434261543
HIRA,-0.134234556181817,7.42072008247636,-2.9234775021988,0.00398168323936959,0.246572415828602,-1.98951522186691
PPP3CA,-0.119547633894641,9.22261686325737,-2.92315424179341,0.0039855995881752,0.246572415828602,-1.99032259899971
STRN,-0.142864115220026,7.28079276855116,-2.92221232185127,0.00399703123641466,0.246572415828602,-1.99267469369147
EIF5,0.127359777835265,8.86649146290488,2.91384774134036,0.00409987477788574,0.250759463795616,-2.01353270074356
DICER1,-0.161957864653402,8.88468113677392,-2.91172820033732,0.00412631703924442,0.250759463795616,-2.01880960817907
BRD4,0.163547040855686,8.5861180739014,2.91122215393025,0.00413265326680456,0.250759463795616,-2.02006898211259
NPHP4,0.108299103170295,6.85721162533102,2.90825566009595,0.0041699764899396,0.251081807992377,-2.02744765815833
SEC23A,-0.150237321129522,8.33948864790628,-2.90609872521152,0.00419730777113966,0.251081807992377,-2.03280850408614
INSL5,-0.107449596824624,5.37498979308836,-2.90419417608523,0.0042215772831897,0.251081807992377,-2.03753914197779
NUPR1,-0.139443650643537,6.44462355870436,-2.90365955243615,0.00422841301283992,0.251081807992377,-2.03886657975244
MMP13,0.0638987514312568,4.96810617293529,2.89347900901255,0.00436053157469503,0.255961918856209,-2.06410291759389
ZNF471,0.0811550117838529,5.00004191929295,2.89246237183417,0.00437393044348005,0.255961918856209,-2.06661872362311
VPS52,0.10756059799775,9.35384720321985,2.88997272088376,0.00440690232573856,0.255961918856209,-2.07277639055281
TSPYL1,-0.140284779647148,9.10165316340306,-2.88994117533654,0.00440732155701835,0.255961918856209,-2.07285438215514
UBE2G2,0.160926481551378,8.55639255168566,2.88216697701761,0.00451175828810786,0.255961918856209,-2.09205188623176
KCNC1,0.108851844030315,6.67671136116188,2.88199999758466,0.00451402608015111,0.255961918856209,-2.09246371972425
CPM,-0.268829088594092,6.73586758926794,-2.88131667150538,0.00452331738160152,0.255961918856209,-2.09414883578499
IKZF1,-0.16659557517599,8.65012423787092,-2.88069873916465,0.00453173457188467,0.255961918856209,-2.09567238228494
SGPL1,-0.172297563577914,7.91527602870246,-2.8796874988552,0.00454554013404532,0.255961918856209,-2.09816502573144
VCPIP1,-0.117433804504837,7.8149981105247,-2.87964997233418,0.00454605318961531,0.255961918856209,-2.09825751128577
MIPEP,0.104351079432374,5.99818806992038,2.87832787769889,0.00456416245799075,0.255961918856209,-2.10151518156758
DHX35,0.0789565884536279,6.71790988100958,2.87076232227783,0.00466906593515548,0.257422311769789,-2.12013132631998
RALA,-0.144004838228282,7.21836395643672,-2.86956194530463,0.00468591144329964,0.257422311769789,-2.1230810276668
POU3F1,0.161476549354742,7.35987225678597,2.86949839752819,0.00468680478848941,0.257422311769789,-2.1232371538685
CCIN,0.21724076969054,6.86041345566738,2.86922220455916,0.00469068927716008,0.257422311769789,-2.12391567786839
CYP4F12,0.0948069540872316,6.04816813481368,2.86759322489136,0.00471365982684294,0.257422311769789,-2.12791641617478
PNN,0.265961500453351,8.69252300433578,2.86648820519811,0.00472930039634698,0.257422311769789,-2.13062917110414
ATP5G2,0.144160504920764,9.27775408476311,2.86384102509512,0.00476696197450517,0.258206564706856,-2.13712405528801
CTRL,0.1451924269863,6.9156268537514,2.86184775042867,0.00479550106333456,0.258491474792558,-2.14201105559988
EIF2S2,0.235683382091129,6.44311113621317,2.85833498877121,0.00484617595554887,0.259291436890681,-2.15061608697028
SLC25A3,0.0968582289099871,10.367962778338,2.85679947546917,0.00486848044908889,0.259291436890681,-2.15437460308008
NDUFS2,0.0771638277528517,9.45267147176274,2.85598184445938,0.00488039538095752,0.259291436890681,-2.1563752070926
PFDN5,0.229333782962902,11.0583024304255,2.84792387644975,0.0049992529308687,0.259634178330709,-2.17606443241507
CCPG1,-0.209503027552278,6.75023030960202,-2.84729352566604,0.0050086613601926,0.259634178330709,-2.17760257408602
WAC,-0.120656165331816,9.36287379908157,-2.84479689732526,0.00504608431425197,0.259634178330709,-2.18369170964849
ONECUT2,0.109375216137139,6.88237680976247,2.84111866651888,0.0051016839387917,0.259634178330709,-2.19265404282968
ACSL4,-0.218805124192208,8.33913017433748,-2.83803464446124,0.00514873188241289,0.259634178330709,-2.20016057564239
MSL3,0.101740039993535,8.22541908152098,2.83790763153168,0.00515067797495868,0.259634178330709,-2.20046957038528
RPL3L,0.0851816115777009,6.65109822389372,2.83673853075648,0.00516862248857749,0.259634178330709,-2.20331315895774
TMEM14B,-0.336970740535893,10.3329978239225,-2.83673249499855,0.00516871527917563,0.259634178330709,-2.20332783694499
PHKA2,0.105174065194436,8.09354536821105,2.83671935056671,0.00516891736008275,0.259634178330709,-2.20335980198139
OAZ3,0.0800850119463128,5.67201382606278,2.83540243919096,0.00518919997479605,0.259634178330709,-2.20656163902502
APOBEC3F,-0.135734276458452,7.10954860358465,-2.83187794465691,0.00524384074917375,0.259634178330709,-2.21512430714816
TLR3,-0.111115287218039,5.16062682972799,-2.83174850442063,0.00524585743564867,0.259634178330709,-2.2154385981775
RNF216,0.144719820401257,7.64793877345668,2.83013948745084,0.00527098513649042,0.259634178330709,-2.21934434863102
NAPG,0.110622150591583,7.06327575536103,2.82950485148058,0.00528092627405945,0.259634178330709,-2.22088432883472
CROCCP2,0.245470685068234,7.59680135126469,2.82371948828774,0.00537234159511556,0.259634178330709,-2.23490864404491
MATN4,-0.107888162768921,6.77590320577539,-2.82296373938689,0.00538438924527017,0.259634178330709,-2.23673876698768
LETMD1,0.0967533916128716,8.33956744327499,2.82232668592662,0.00539456385790203,0.259634178330709,-2.23828111748289
CTSD,-0.188965083602428,10.3827949422657,-2.82157330593928,0.00540661898329726,0.259634178330709,-2.24010470188163
TARBP1,0.174440590000929,7.57793055027434,2.82145109255829,0.00540857688046383,0.259634178330709,-2.2404004830029
CBLL1,-0.189358621147751,7.78327843532533,-2.82024624754707,0.00542791350414057,0.259634178330709,-2.24331584017544
RPS11,-0.172045861299243,6.9087026193515,-2.81910466114605,0.0054462930067131,0.259634178330709,-2.24607710601832
NOP2,0.119103610112289,8.43439117566084,2.81711229091612,0.0054785060457926,0.259634178330709,-2.25089385604415
PPP2CA,-0.269235279093023,9.58303813593491,-2.81322392845157,0.0055418744963472,0.259634178330709,-2.26028560062421
CWC25,0.13529826791848,7.88456366670054,2.81284291547933,0.0055481196370649,0.259634178330709,-2.26120525638159
STRA6,0.0870233019008442,7.05517411136382,2.81223462320461,0.00555810337919911,0.259634178330709,-2.26267326858308
TUBA8,-0.230889977321733,7.97184104514694,-2.80881135930966,0.00561459441195614,0.259634178330709,-2.27092946073379
TGOLN2,0.130450129239728,9.97017274910969,2.80873426907373,0.00561587256294626,0.259634178330709,-2.27111528279556
CCDC47,-0.153976402258833,7.34578837497543,-2.80809082736992,0.00562655112683829,0.259634178330709,-2.27266608841529
ADSL,0.0860736993922604,8.85031222537384,2.8058834940405,0.00566332475981215,0.259634178330709,-2.27798373181146
THOC2,0.143350142804664,8.12544864129682,2.80555290982771,0.00566885101999977,0.259634178330709,-2.27877981423552
PGRMC2,-0.188159398955786,7.27154858589826,-2.80250818250327,0.00571998005544056,0.259634178330709,-2.28610790675916
SLCO4C1,-0.352436982661685,6.3334255171629,-2.8023423282875,0.00572277721014812,0.259634178330709,-2.28650688288629
OR10H2,0.20010590034423,5.01014528832348,2.79904868084904,0.00577858363513808,0.259634178330709,-2.29442565687453
MTMR14,0.0956948746044226,9.80866104099943,2.79877213423611,0.00578329181890595,0.259634178330709,-2.29509016727921
POLR1C,0.0794012526038799,7.23679143899707,2.79851869081055,0.00578760973941651,0.259634178330709,-2.2956991118016
SFSWAP,0.158551408890405,8.01224924440549,2.79786691447007,0.00579872754795469,0.259634178330709,-2.29726489822225
